Grai	kirkii	kokia
Gorai.001G001100.1	augustus_masked-SEQ_558-processed-gene-82.1-mRNA-1	maker-SEQ_129988-augustus-gene-0.45-mRNA-1
Gorai.001G001300.1	augustus_masked-SEQ_558-processed-gene-82.9-mRNA-1	maker-SEQ_129988-augustus-gene-0.46-mRNA-1
Gorai.001G001400.1	maker-SEQ_558-augustus-gene-82.66-mRNA-1	genemark-SEQ_129988-processed-gene-0.7-mRNA-1
Gorai.001G001500.1	maker-SEQ_558-augustus-gene-82.71-mRNA-1	maker-SEQ_129988-augustus-gene-0.47-mRNA-1
Gorai.001G001800.1	maker-SEQ_558-augustus-gene-82.72-mRNA-1	maker-SEQ_129988-augustus-gene-0.48-mRNA-1
Gorai.001G002000.1	genemark-SEQ_558-processed-gene-82.33-mRNA-1	genemark-SEQ_129988-processed-gene-0.18-mRNA-1
Gorai.001G002200.1	maker-SEQ_558-augustus-gene-82.74-mRNA-1	maker-SEQ_129988-augustus-gene-1.61-mRNA-1
Gorai.001G002300.1	maker-SEQ_558-augustus-gene-83.67-mRNA-1	maker-SEQ_129988-augustus-gene-1.55-mRNA-1
Gorai.001G002400.1	maker-SEQ_558-snap-gene-83.80-mRNA-1	maker-SEQ_129988-augustus-gene-1.56-mRNA-1
Gorai.001G002500.1	augustus_masked-SEQ_558-processed-gene-83.3-mRNA-1	genemark-SEQ_129988-processed-gene-1.14-mRNA-1
Gorai.001G002600.1	maker-SEQ_558-augustus-gene-83.72-mRNA-1	maker-SEQ_129988-augustus-gene-1.62-mRNA-1
Gorai.001G002700.1	maker-SEQ_558-augustus-gene-83.69-mRNA-1	maker-SEQ_129988-augustus-gene-1.58-mRNA-1
Gorai.001G002800.1	maker-SEQ_558-augustus-gene-83.73-mRNA-1	genemark-SEQ_129988-processed-gene-1.17-mRNA-1
Gorai.001G003100.1	maker-SEQ_558-augustus-gene-83.70-mRNA-1	maker-SEQ_129988-augustus-gene-1.59-mRNA-1
Gorai.001G003200.1	maker-SEQ_558-snap-gene-83.88-mRNA-1	maker-SEQ_129988-augustus-gene-1.64-mRNA-1
Gorai.001G004500.1	maker-SEQ_558-snap-gene-84.80-mRNA-1	genemark-SEQ_128780-processed-gene-1.21-mRNA-1
Gorai.001G005500.1	maker-SEQ_558-augustus-gene-85.64-mRNA-1	maker-SEQ_128780-augustus-gene-1.87-mRNA-1
Gorai.001G006000.1	maker-SEQ_558-augustus-gene-85.62-mRNA-1	maker-SEQ_128780-augustus-gene-1.93-mRNA-1
Gorai.001G006100.1	maker-SEQ_558-snap-gene-85.80-mRNA-1	maker-SEQ_128780-augustus-gene-1.83-mRNA-1
Gorai.001G006200.1	maker-SEQ_558-snap-gene-85.81-mRNA-1	augustus_masked-SEQ_128780-processed-gene-1.46-mRNA-1
Gorai.001G006300.1	augustus_masked-SEQ_558-processed-gene-85.15-mRNA-1	genemark-SEQ_128780-processed-gene-1.5-mRNA-1
Gorai.001G006400.1	maker-SEQ_558-augustus-gene-86.49-mRNA-1	augustus_masked-SEQ_128780-processed-gene-1.66-mRNA-1
Gorai.001G006500.1	maker-SEQ_558-augustus-gene-86.53-mRNA-1	maker-SEQ_128780-augustus-gene-1.79-mRNA-1
Gorai.001G006600.1	maker-SEQ_558-snap-gene-86.64-mRNA-1	genemark-SEQ_128780-processed-gene-1.0-mRNA-1
Gorai.001G007000.1	maker-SEQ_558-snap-gene-86.65-mRNA-1	maker-SEQ_128780-augustus-gene-0.26-mRNA-1
Gorai.001G007100.1	augustus_masked-SEQ_558-processed-gene-86.2-mRNA-1	maker-SEQ_128780-augustus-gene-0.29-mRNA-1
Gorai.001G007500.1	maker-SEQ_558-augustus-gene-87.51-mRNA-1	maker-SEQ_128780-augustus-gene-0.24-mRNA-1
