,qseqid,qspecies,sseqid,sspecies,dN,dS,dN/dS
3,Gorai.001G001100.1,Grai,augustus_masked-SEQ_558-processed-gene-82.1-mRNA-1,kirkii,0.0097,0.1007,0.0965
6,Gorai.001G001100.1,Grai,maker-SEQ_129988-augustus-gene-0.45-mRNA-1,kokia,0.0098,0.0936,0.1051
7,augustus_masked-SEQ_558-processed-gene-82.1-mRNA-1,kirkii,maker-SEQ_129988-augustus-gene-0.45-mRNA-1,kokia,0.003,0.0606,0.0487
12,Gorai.001G001300.1,Grai,augustus_masked-SEQ_558-processed-gene-82.9-mRNA-1,kirkii,0.0053,0.0619,0.0858
15,Gorai.001G001300.1,Grai,maker-SEQ_129988-augustus-gene-0.46-mRNA-1,kokia,0.0063,0.0655,0.0961
16,augustus_masked-SEQ_558-processed-gene-82.9-mRNA-1,kirkii,maker-SEQ_129988-augustus-gene-0.46-mRNA-1,kokia,0.0009,0.0171,0.0533
21,Gorai.001G001400.1,Grai,maker-SEQ_558-augustus-gene-82.66-mRNA-1,kirkii,0.0125,0.0811,0.1536
24,Gorai.001G001400.1,Grai,genemark-SEQ_129988-processed-gene-0.7-mRNA-1,kokia,0.0053,0.0251,0.2124
25,genemark-SEQ_129988-processed-gene-0.7-mRNA-1,kokia,maker-SEQ_558-augustus-gene-82.66-mRNA-1,kirkii,0.0068,0.0567,0.12
30,Gorai.001G001500.1,Grai,maker-SEQ_558-augustus-gene-82.71-mRNA-1,kirkii,0.0069,0.0802,0.0859
33,Gorai.001G001500.1,Grai,maker-SEQ_129988-augustus-gene-0.47-mRNA-1,kokia,0.0093,0.0978,0.0946
34,maker-SEQ_129988-augustus-gene-0.47-mRNA-1,kokia,maker-SEQ_558-augustus-gene-82.71-mRNA-1,kirkii,0.0034,0.0204,0.1668
39,Gorai.001G001800.1,Grai,maker-SEQ_558-augustus-gene-82.72-mRNA-1,kirkii,0.0082,0.0558,0.1478
42,Gorai.001G001800.1,Grai,maker-SEQ_129988-augustus-gene-0.48-mRNA-1,kokia,0.0067,0.0729,0.0917
43,maker-SEQ_129988-augustus-gene-0.48-mRNA-1,kokia,maker-SEQ_558-augustus-gene-82.72-mRNA-1,kirkii,0.0013,0.0488,0.0269
48,Gorai.001G002000.1,Grai,genemark-SEQ_558-processed-gene-82.33-mRNA-1,kirkii,0.0126,0.0766,0.1641
51,Gorai.001G002000.1,Grai,genemark-SEQ_129988-processed-gene-0.18-mRNA-1,kokia,0.0135,0.0742,0.1817
52,genemark-SEQ_129988-processed-gene-0.18-mRNA-1,kokia,genemark-SEQ_558-processed-gene-82.33-mRNA-1,kirkii,0.0056,0.0325,0.1715
57,Gorai.001G002200.1,Grai,maker-SEQ_558-augustus-gene-82.74-mRNA-1,kirkii,0.0041,0.0958,0.0432
60,Gorai.001G002200.1,Grai,maker-SEQ_129988-augustus-gene-1.61-mRNA-1,kokia,0.0042,0.1023,0.041
61,maker-SEQ_129988-augustus-gene-1.61-mRNA-1,kokia,maker-SEQ_558-augustus-gene-82.74-mRNA-1,kirkii,0.0014,0.031,0.0438
66,Gorai.001G002300.1,Grai,maker-SEQ_558-augustus-gene-83.67-mRNA-1,kirkii,0.0102,0.05,0.2033
69,Gorai.001G002300.1,Grai,maker-SEQ_129988-augustus-gene-1.55-mRNA-1,kokia,0.0106,0.0469,0.2261
70,maker-SEQ_129988-augustus-gene-1.55-mRNA-1,kokia,maker-SEQ_558-augustus-gene-83.67-mRNA-1,kirkii,0.0068,0.0216,0.3163
75,Gorai.001G002400.1,Grai,maker-SEQ_558-snap-gene-83.80-mRNA-1,kirkii,0.0084,0.06,0.1405
78,Gorai.001G002400.1,Grai,maker-SEQ_129988-augustus-gene-1.56-mRNA-1,kokia,0.0088,0.0556,0.1574
79,maker-SEQ_129988-augustus-gene-1.56-mRNA-1,kokia,maker-SEQ_558-snap-gene-83.80-mRNA-1,kirkii,0.0039,0.0314,0.1248
84,Gorai.001G002500.1,Grai,augustus_masked-SEQ_558-processed-gene-83.3-mRNA-1,kirkii,0.0088,0.0691,0.1268
87,Gorai.001G002500.1,Grai,genemark-SEQ_129988-processed-gene-1.14-mRNA-1,kokia,0.0091,0.0815,0.1112
88,augustus_masked-SEQ_558-processed-gene-83.3-mRNA-1,kirkii,genemark-SEQ_129988-processed-gene-1.14-mRNA-1,kokia,0.0056,0.0321,0.174
93,Gorai.001G002600.1,Grai,maker-SEQ_558-augustus-gene-83.72-mRNA-1,kirkii,0.0161,0.0629,0.2566
96,Gorai.001G002600.1,Grai,maker-SEQ_129988-augustus-gene-1.62-mRNA-1,kokia,0.0196,0.0816,0.2405
97,maker-SEQ_129988-augustus-gene-1.62-mRNA-1,kokia,maker-SEQ_558-augustus-gene-83.72-mRNA-1,kirkii,0.0141,0.0354,0.3964
102,Gorai.001G002700.1,Grai,maker-SEQ_558-augustus-gene-83.69-mRNA-1,kirkii,0.0094,0.0794,0.1183
105,Gorai.001G002700.1,Grai,maker-SEQ_129988-augustus-gene-1.58-mRNA-1,kokia,0.0095,0.0913,0.1041
106,maker-SEQ_129988-augustus-gene-1.58-mRNA-1,kokia,maker-SEQ_558-augustus-gene-83.69-mRNA-1,kirkii,0.0031,0.0201,0.1539
111,Gorai.001G002800.1,Grai,maker-SEQ_558-augustus-gene-83.73-mRNA-1,kirkii,0.0054,0.0931,0.0583
114,Gorai.001G002800.1,Grai,genemark-SEQ_129988-processed-gene-1.17-mRNA-1,kokia,0.0094,0.0994,0.0942
115,genemark-SEQ_129988-processed-gene-1.17-mRNA-1,kokia,maker-SEQ_558-augustus-gene-83.73-mRNA-1,kirkii,0.0022,0.0525,0.0411
120,Gorai.001G003100.1,Grai,maker-SEQ_558-augustus-gene-83.70-mRNA-1,kirkii,0.008,0.0859,0.0933
123,Gorai.001G003100.1,Grai,maker-SEQ_129988-augustus-gene-1.59-mRNA-1,kokia,0.0052,0.0747,0.0698
124,maker-SEQ_129988-augustus-gene-1.59-mRNA-1,kokia,maker-SEQ_558-augustus-gene-83.70-mRNA-1,kirkii,0.0058,0.048,0.121
129,Gorai.001G003200.1,Grai,maker-SEQ_558-snap-gene-83.88-mRNA-1,kirkii,0.0099,0.0856,0.1151
132,Gorai.001G003200.1,Grai,maker-SEQ_129988-augustus-gene-1.64-mRNA-1,kokia,0.0138,0.0996,0.139
133,maker-SEQ_129988-augustus-gene-1.64-mRNA-1,kokia,maker-SEQ_558-snap-gene-83.88-mRNA-1,kirkii,0.006,0.0224,0.2692
138,Gorai.001G004500.1,Grai,maker-SEQ_558-snap-gene-84.80-mRNA-1,kirkii,0.0043,0.0816,0.0527
141,Gorai.001G004500.1,Grai,genemark-SEQ_128780-processed-gene-1.21-mRNA-1,kokia,0.0018,0.0805,0.0218
142,genemark-SEQ_128780-processed-gene-1.21-mRNA-1,kokia,maker-SEQ_558-snap-gene-84.80-mRNA-1,kirkii,0.0027,0.0363,0.0755
147,Gorai.001G005500.1,Grai,maker-SEQ_558-augustus-gene-85.64-mRNA-1,kirkii,0.0103,0.1043,0.0987
150,Gorai.001G005500.1,Grai,maker-SEQ_128780-augustus-gene-1.87-mRNA-1,kokia,0.0135,0.1059,0.1278
151,maker-SEQ_128780-augustus-gene-1.87-mRNA-1,kokia,maker-SEQ_558-augustus-gene-85.64-mRNA-1,kirkii,0.0041,0.0453,0.0899
156,Gorai.001G006000.1,Grai,maker-SEQ_558-augustus-gene-85.62-mRNA-1,kirkii,0.0087,0.0872,0.0997
159,Gorai.001G006000.1,Grai,maker-SEQ_128780-augustus-gene-1.93-mRNA-1,kokia,0.0097,0.0923,0.1053
160,maker-SEQ_128780-augustus-gene-1.93-mRNA-1,kokia,maker-SEQ_558-augustus-gene-85.62-mRNA-1,kirkii,0.001,0.0285,0.0349
165,Gorai.001G006100.1,Grai,maker-SEQ_558-snap-gene-85.80-mRNA-1,kirkii,0.014,0.1131,0.1234
168,Gorai.001G006100.1,Grai,maker-SEQ_128780-augustus-gene-1.83-mRNA-1,kokia,0.0155,0.0884,0.1754
169,maker-SEQ_128780-augustus-gene-1.83-mRNA-1,kokia,maker-SEQ_558-snap-gene-85.80-mRNA-1,kirkii,0.0072,0.0327,0.2207
174,Gorai.001G006200.1,Grai,maker-SEQ_558-snap-gene-85.81-mRNA-1,kirkii,0.0067,0.0918,0.0732
177,Gorai.001G006200.1,Grai,augustus_masked-SEQ_128780-processed-gene-1.46-mRNA-1,kokia,0.0052,0.0854,0.0612
178,augustus_masked-SEQ_128780-processed-gene-1.46-mRNA-1,kokia,maker-SEQ_558-snap-gene-85.81-mRNA-1,kirkii,0.003,0.0302,0.0992
183,Gorai.001G006300.1,Grai,augustus_masked-SEQ_558-processed-gene-85.15-mRNA-1,kirkii,0.0122,0.0984,0.1238
186,Gorai.001G006300.1,Grai,genemark-SEQ_128780-processed-gene-1.5-mRNA-1,kokia,0.0254,0.1166,0.2176
187,augustus_masked-SEQ_558-processed-gene-85.15-mRNA-1,kirkii,genemark-SEQ_128780-processed-gene-1.5-mRNA-1,kokia,0.0115,0.0282,0.4084
192,Gorai.001G006400.1,Grai,maker-SEQ_558-augustus-gene-86.49-mRNA-1,kirkii,0.0132,0.1024,0.1291
195,Gorai.001G006400.1,Grai,augustus_masked-SEQ_128780-processed-gene-1.66-mRNA-1,kokia,0.0158,0.1132,0.1398
196,augustus_masked-SEQ_128780-processed-gene-1.66-mRNA-1,kokia,maker-SEQ_558-augustus-gene-86.49-mRNA-1,kirkii,0.0125,0.0642,0.1946
201,Gorai.001G006500.1,Grai,maker-SEQ_558-augustus-gene-86.53-mRNA-1,kirkii,0.006,0.0589,0.1022
204,Gorai.001G006500.1,Grai,maker-SEQ_128780-augustus-gene-1.79-mRNA-1,kokia,0.0093,0.1005,0.0921
205,maker-SEQ_128780-augustus-gene-1.79-mRNA-1,kokia,maker-SEQ_558-augustus-gene-86.53-mRNA-1,kirkii,0.0096,0.0695,0.1378
210,Gorai.001G006600.1,Grai,maker-SEQ_558-snap-gene-86.64-mRNA-1,kirkii,0.004,0.0645,0.0618
213,Gorai.001G006600.1,Grai,genemark-SEQ_128780-processed-gene-1.0-mRNA-1,kokia,0.0051,0.0618,0.0828
214,genemark-SEQ_128780-processed-gene-1.0-mRNA-1,kokia,maker-SEQ_558-snap-gene-86.64-mRNA-1,kirkii,0.0038,0.0465,0.0818
219,Gorai.001G007000.1,Grai,maker-SEQ_558-snap-gene-86.65-mRNA-1,kirkii,0.0038,0.0613,0.0614
222,Gorai.001G007000.1,Grai,maker-SEQ_128780-augustus-gene-0.26-mRNA-1,kokia,0.0049,0.0708,0.0697
223,maker-SEQ_128780-augustus-gene-0.26-mRNA-1,kokia,maker-SEQ_558-snap-gene-86.65-mRNA-1,kirkii,0.004,0.032,0.1236
228,Gorai.001G007100.1,Grai,augustus_masked-SEQ_558-processed-gene-86.2-mRNA-1,kirkii,0.0068,0.0631,0.1073
231,Gorai.001G007100.1,Grai,maker-SEQ_128780-augustus-gene-0.29-mRNA-1,kokia,0.0107,0.0677,0.1575
232,augustus_masked-SEQ_558-processed-gene-86.2-mRNA-1,kirkii,maker-SEQ_128780-augustus-gene-0.29-mRNA-1,kokia,0.0055,0.0151,0.3635
237,Gorai.001G007500.1,Grai,maker-SEQ_558-augustus-gene-87.51-mRNA-1,kirkii,0.0114,0.1073,0.106
240,Gorai.001G007500.1,Grai,maker-SEQ_128780-augustus-gene-0.24-mRNA-1,kokia,0.0122,0.1444,0.0845
241,maker-SEQ_128780-augustus-gene-0.24-mRNA-1,kokia,maker-SEQ_558-augustus-gene-87.51-mRNA-1,kirkii,0.0014,0.0437,0.0327
246,Gorai.001G007700.1,Grai,augustus_masked-SEQ_558-processed-gene-87.8-mRNA-1,kirkii,0.0205,0.1327,0.1548
249,Gorai.001G007700.1,Grai,augustus_masked-SEQ_130244-processed-gene-0.39-mRNA-1,kokia,0.0156,0.1619,0.0965
250,augustus_masked-SEQ_130244-processed-gene-0.39-mRNA-1,kokia,augustus_masked-SEQ_558-processed-gene-87.8-mRNA-1,kirkii,0.0124,0.0655,0.1887
255,Gorai.001G007800.1,Grai,augustus_masked-SEQ_558-processed-gene-87.2-mRNA-1,kirkii,0.0099,0.0882,0.112
258,Gorai.001G007800.1,Grai,maker-SEQ_130244-augustus-gene-0.42-mRNA-1,kokia,0.0103,0.074,0.1393
259,augustus_masked-SEQ_558-processed-gene-87.2-mRNA-1,kirkii,maker-SEQ_130244-augustus-gene-0.42-mRNA-1,kokia,0.0113,0.0358,0.3143
264,Gorai.001G007900.1,Grai,maker-SEQ_558-augustus-gene-87.47-mRNA-1,kirkii,0.0099,0.1332,0.0745
267,Gorai.001G007900.1,Grai,maker-SEQ_130244-augustus-gene-0.43-mRNA-1,kokia,0.0064,0.1286,0.0496
268,maker-SEQ_130244-augustus-gene-0.43-mRNA-1,kokia,maker-SEQ_558-augustus-gene-87.47-mRNA-1,kirkii,0.0045,0.0498,0.0904
273,Gorai.001G008000.1,Grai,maker-SEQ_558-snap-gene-87.55-mRNA-1,kirkii,0.009,0.0985,0.0917
276,Gorai.001G008000.1,Grai,maker-SEQ_130244-augustus-gene-0.44-mRNA-1,kokia,0.0119,0.1273,0.0938
277,maker-SEQ_130244-augustus-gene-0.44-mRNA-1,kokia,maker-SEQ_558-snap-gene-87.55-mRNA-1,kirkii,0.0074,0.0793,0.0928
282,Gorai.001G008100.1,Grai,snap_masked-SEQ_558-processed-gene-87.32-mRNA-1,kirkii,0.0023,0.1077,0.021
