,qseqid,sseqid,dN,dS,dN/dS
0,Thecc1EG000002t1,Gorai.013G145100.1,0.04,0.2747,0.1457
1,Thecc1EG000005t1,Gorai.003G001000.1,0.018,0.3215,0.0559
2,Thecc1EG000013t1,Gorai.011G097600.1,0.0598,0.448,0.1334
3,Thecc1EG000014t1,Gorai.007G064300.1,0.0425,0.3111,0.1365
4,Thecc1EG000015t1,Gorai.003G000900.1,0.045,0.2702,0.1667
5,Thecc1EG000019t1,Gorai.003G000800.1,0.0386,0.4783,0.0807
6,Thecc1EG000021t1,Gorai.001G200300.1,0.0209,0.4292,0.0486
7,Thecc1EG000023t1,Gorai.012G025100.1,0.0644,0.6231,0.1034
8,Thecc1EG000026t1,Gorai.001G200200.1,0.0347,0.292,0.1188
9,Thecc1EG000027t1,Gorai.003G064600.1,0.0272,0.3721,0.073
10,Thecc1EG000029t1,Gorai.001G200100.1,0.0305,0.3099,0.0985
11,Thecc1EG000033t1,Gorai.006G164500.1,0.0655,0.9042,0.0724
12,Thecc1EG000035t1,Gorai.001G200000.1,0.0309,0.3306,0.0934
13,Thecc1EG000039t1,Gorai.001G199900.1,0.0378,0.4725,0.0801
14,Thecc1EG000041t1,Gorai.001G199800.1,0.0219,0.3546,0.0618
15,Thecc1EG000043t1,Gorai.001G199700.1,0.0109,0.3034,0.0358
16,Thecc1EG000044t1,Gorai.003G001300.1,0.0379,0.3727,0.1017
17,Thecc1EG000045t1,Gorai.003G001400.1,0.0278,0.4477,0.0621
18,Thecc1EG000050t1,Gorai.003G001500.1,0.0287,0.4338,0.0662
19,Thecc1EG000052t1,Gorai.001G199600.1,0.0086,0.5912,0.0146
20,Thecc1EG000053t1,Gorai.012G187700.1,0.0351,0.4048,0.0868
21,Thecc1EG000054t1,Gorai.003G001600.1,0.031,0.4197,0.0739
22,Thecc1EG000056t1,Gorai.001G199400.1,0.0425,0.3805,0.1116
23,Thecc1EG000057t1,Gorai.003G001800.1,0.0231,0.361,0.0639
24,Thecc1EG000059t1,Gorai.003G001900.1,0.0406,0.358,0.1133
25,Thecc1EG000060t1,Gorai.003G002000.1,0.0429,0.3834,0.1119
26,Thecc1EG000061t1,Gorai.003G002100.1,0.0455,0.4013,0.1134
27,Thecc1EG000062t1,Gorai.001G199200.1,0.0158,0.331,0.0477
28,Thecc1EG000063t1,Gorai.003G002300.1,0.0366,0.4771,0.0766
29,Thecc1EG000066t1,Gorai.003G002400.1,0.0324,0.3097,0.1046
30,Thecc1EG000067t1,Gorai.001G199000.1,0.048,0.4522,0.1061
31,Thecc1EG000069t1,Gorai.010G212400.1,0.0545,0.3422,0.1594
32,Thecc1EG000070t1,Gorai.001G198800.1,0.05,0.4856,0.1029
33,Thecc1EG000071t1,Gorai.003G002600.1,0.0418,0.5956,0.0701
34,Thecc1EG000073t1,Gorai.003G002700.1,0.0362,0.2863,0.1264
35,Thecc1EG000076t1,Gorai.001G198600.1,0.1056,1.4058,0.0751
36,Thecc1EG000077t1,Gorai.003G002900.1,0.0452,0.3435,0.1315
